O=C(O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
O=C(O)c1cccc(COc2cccc(Br)c2Cl)c1
O=C(O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)n1
COc1cccc(OCc2cccc(C(=O)O)c2)c1
c1ccc(-c2ccccc2-c2nnc(SSc3nnc(-c4ccccc4-c4ccccc4)[nH]3)[nH]2)cc1
NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12
NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1
Cc1cc(=O)oc2cc(OCC(C)c3ccccc3)ccc12
CCN(CC)c1ccc2c(C)c(CCOC(=O)NCc3cccc(-c4c[nH]cn4)c3)c(=O)oc2c1
O=C(NCCS(=O)(=O)O)c1ccc(COc2ccc(C(F)(F)F)cc2Cl)cc1
CC(C)NC(=O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CC(C)NCC(O)c1ccc(O)c(O)c1
O=c1[nH]ccc2cc(OC3CCNCC3)ccc12
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12
CCC(=O)N(CC)c1cc(-c2ccc(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)nc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C
CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1
CCN(CC)c1ccc2c(C)c(CCOC(=O)NCc3cncc(NC(C)=O)c3)c(=O)oc2c1
O=C(O)Cc1cccc(C(=O)Nc2ccc3c(c2)OCO3)c1
Cc1cc(C(F)(F)F)ccc1OCc1cccc(C(=O)O)c1F
CCc1cc(COc2ccc(C(F)(F)F)cc2Cl)nc(C(=O)O)c1
O=C(O)c1cccc(COc2ccc(Cl)cc2Cl)c1F
O=C(O)c1cccc(COc2ccc(OC(F)F)cc2)c1
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
Cc1c(CCN2CC3(CCN(c4nccn5ccnc45)CC3)NC2=O)c(=O)oc2cc(OCC(C)c3ccccc3)ccc12
FC(F)(F)c1ccc(OCc2cccc(-c3ncc[nH]3)c2)c(Cl)c1
CCOC(=O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1F
CCCCNC(=O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
CC(C)c1ccc(Sc2ccc(F)cc2CC(=O)O)cc1
COC(=O)c1cccc(COc2ccc(Cl)cc2C)n1
C(CN1CCCC1)OC1=CC=C2C=C1COC\C=C\COCC1=CC=CC(=C1)C1=CC=N\C(N1)=N\2
O=C(NCCO)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
O=C(O)c1cccc(COc2ccc3ccccc3c2)c1
O=C(O)c1cc(F)cc(COc2ccc(C(F)(F)F)cc2Cl)c1
CNCc1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1
N#CCNC(=O)c1ccc(COc2ccc(C(F)(F)F)cc2Cl)cc1
CCCCCCCCCCCCCCC[C@H]([C@H](COP(=O)(O)O)N)O
O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1
CCN(CC)c1ccc2c(C)c(CCN3CC4(CCN(c5ncnc6[nH]ncc56)CC4)NC3=O)c(=O)oc2c1
CCN(CC)c1ccc2c(C)c(CCN3CC4(CCN(c5nccn6ccnc56)CC4)NC3=O)c(=O)oc2c1
NC(=O)C1=CC=CC2=CN(N=C12)C1=CC=C(C=C1)[C@@H]1CCCNC1
CCN1CCN(CC2=CC=C(NC3=NC=C(F)C(=N3)C3=CC(F)=C4N=C(C)N(C(C)C)C4=C3)N=C2)CC1
O=C(O)c1cccc(COc2ccc(C(F)(F)F)cc2Cl)c1F
N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1
CC(C)NCC(O)C1=CC=C(O)C(O)=C1
Cc1ccc(OCc2cccc(C(=O)O)c2)cc1F
N#Cc1cc(COc2ccc(C(F)(F)F)cc2Cl)cc(C(=O)O)c1
Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1
Cn1cc(C2=Nc3cc(NC(=O)C(N)C4CCCCC4)cc4c3C2=CNNC4=O)cn1
COC1=CC(NC2=NC(NC3=CC=C4OC(C)(C)C(=O)N(COP(O)(O)=O)C4=N3)=C(F)C=N2)=CC(OC)=C1OC
O=C(O)c1cccc(COc2ccc(C(F)(F)F)cc2)c1
O=C(O)c1cc(COc2ccc(C(F)(F)F)cc2Cl)ccc1F
